"","modality","type","period","brain_measure","estimate","SE","DF","t","p","effect","sig","sig_level","brain_measure_name","subtype"
"747","pain","visual","cue","Ctx_VMV1_L",-0.045,0.042,2896.68,-1.08,0.281,"cue_sk_neg",FALSE,"","Left ventro-medial V1","visual_other"
"748","vision","visual","cue","Ctx_VMV1_L",-0.05,0.043,2916.39,-1.17,0.241,"cue_sk_neg",FALSE,"","Left ventro-medial V1","visual_other"
"749","pain","visual","cue","Ctx_VMV3_L",0.006,0.042,2934.32,0.16,0.877,"cue_sk_neg",FALSE,"","Left ventro-medial V3","visual_other"
"750","vision","visual","cue","Ctx_VMV3_L",0.052,0.042,2959.39,1.25,0.211,"cue_sk_neg",FALSE,"","Left ventro-medial V3","visual_other"
"751","pain","visual","cue","Ctx_V4t_L",-0.004,0.041,2897.15,-0.09,0.925,"cue_sk_neg",FALSE,"","Left V4t","visual_other"
"752","vision","visual","cue","Ctx_V4t_L",0.015,0.042,2960.16,0.36,0.722,"cue_sk_neg",FALSE,"","Left V4t","visual_other"
"753","pain","visual","cue","Ctx_V3CD_L",0.013,0.042,2895.08,0.32,0.748,"cue_sk_neg",FALSE,"","Left V3CD","visual_other"
"754","vision","visual","cue","Ctx_V3CD_L",0.053,0.042,2962.82,1.28,0.201,"cue_sk_neg",FALSE,"","Left V3CD","visual_other"
"755","pain","visual","cue","Ctx_VMV2_L",-0.004,0.042,2935.37,-0.1,0.921,"cue_sk_neg",FALSE,"","Left ventro-medial V2","visual_other"
"756","vision","visual","cue","Ctx_VMV2_L",0.022,0.042,2954.29,0.53,0.597,"cue_sk_neg",FALSE,"","Left ventro-medial V2","visual_other"
"757","pain","visual","cue","Ctx_V1_R",-0.016,0.041,2933.4,-0.4,0.69,"cue_sk_neg",FALSE,"","Right V1","visual_early_percept"
"758","vision","visual","cue","Ctx_V1_R",-0.056,0.043,2957.44,-1.3,0.195,"cue_sk_neg",FALSE,"","Right V1","visual_early_percept"
"759","pain","visual","cue","Ctx_V2_R",0,0.041,2939.63,0,0.999,"cue_sk_neg",FALSE,"","Right V2","visual_early_percept"
"760","vision","visual","cue","Ctx_V2_R",-0.044,0.043,2961.43,-1.03,0.305,"cue_sk_neg",FALSE,"","Right V2","visual_early_percept"
"761","pain","visual","cue","Ctx_V3_R",-0.008,0.041,2936.87,-0.19,0.847,"cue_sk_neg",FALSE,"","Right V3","pain_early_percept"
"762","vision","visual","cue","Ctx_V3_R",-0.021,0.043,2960.77,-0.49,0.621,"cue_sk_neg",FALSE,"","Right V3","pain_early_percept"
"763","pain","visual","cue","Ctx_V4_R",0.007,0.041,2925.63,0.17,0.868,"cue_sk_neg",FALSE,"","Right V4","pain_early_percept"
"764","vision","visual","cue","Ctx_V4_R",-0.006,0.043,2952.52,-0.15,0.884,"cue_sk_neg",FALSE,"","Right V4","pain_early_percept"
"765","pain","visual","cue","Ctx_V3A_R",0.011,0.041,2891.52,0.27,0.787,"cue_sk_neg",FALSE,"","Right V3A","visual_other"
"766","vision","visual","cue","Ctx_V3A_R",-0.025,0.042,2955.44,-0.59,0.557,"cue_sk_neg",FALSE,"","Right V3A","visual_other"
"767","pain","visual","cue","Ctx_V3B_R",0.067,0.041,2881.55,1.64,0.1,"cue_sk_neg",FALSE,"","Right V3B","visual_other"
"768","vision","visual","cue","Ctx_V3B_R",0.041,0.042,2962.59,0.99,0.324,"cue_sk_neg",FALSE,"","Right V3B","visual_other"
"769","pain","visual","cue","Ctx_MT_R",0.003,0.04,2935.45,0.08,0.94,"cue_sk_neg",FALSE,"","Right V5 (MT)","pain_early_percept"
"770","vision","visual","cue","Ctx_MT_R",0.011,0.042,2916.69,0.26,0.797,"cue_sk_neg",FALSE,"","Right V5 (MT)","pain_early_percept"
"771","pain","visual","cue","Ctx_VMV1_R",0.013,0.042,2936.11,0.32,0.751,"cue_sk_neg",FALSE,"","Right ventro-medial V1","visual_other"
"772","vision","visual","cue","Ctx_VMV1_R",-0.045,0.043,2955.54,-1.04,0.296,"cue_sk_neg",FALSE,"","Right ventro-medial V1","visual_other"
"773","pain","visual","cue","Ctx_VMV3_R",0.03,0.041,2940.44,0.72,0.473,"cue_sk_neg",FALSE,"","Right ventro-medial V3","visual_other"
"774","vision","visual","cue","Ctx_VMV3_R",0.036,0.042,2958.05,0.86,0.39,"cue_sk_neg",FALSE,"","Right ventro-medial V3","visual_other"
"775","pain","visual","cue","Ctx_V4t_R",0.011,0.04,2929.2,0.28,0.78,"cue_sk_neg",FALSE,"","Right V4t","visual_other"
"776","vision","visual","cue","Ctx_V4t_R",-0.025,0.043,2908.58,-0.59,0.553,"cue_sk_neg",FALSE,"","Right V4t","visual_other"
"777","pain","visual","cue","Ctx_V3CD_R",0.03,0.041,2884.85,0.73,0.466,"cue_sk_neg",FALSE,"","Right V3CD","visual_other"
"778","vision","visual","cue","Ctx_V3CD_R",0.053,0.042,2955.55,1.26,0.208,"cue_sk_neg",FALSE,"","Right V3CD","visual_other"
"779","pain","visual","cue","Ctx_VMV2_R",0.005,0.042,2931.14,0.11,0.909,"cue_sk_neg",FALSE,"","Right ventro-medial V2","visual_other"
"780","vision","visual","cue","Ctx_VMV2_R",-0.001,0.043,2954.9,-0.02,0.981,"cue_sk_neg",FALSE,"","Right ventro-medial V2","visual_other"
"781","pain","visual","cue","Thal_Lateral_Geniculate_Nucleus_L",0.004,0.042,2897.01,0.09,0.93,"cue_sk_neg",FALSE,"","Left LGN","visual_early_percept"
"782","vision","visual","cue","Thal_Lateral_Geniculate_Nucleus_L",0.04,0.044,2927.74,0.93,0.353,"cue_sk_neg",FALSE,"","Left LGN","visual_early_percept"
"783","pain","visual","cue","Thal_Lateral_Geniculate_Nucleus_R",-0.016,0.043,2935.89,-0.38,0.706,"cue_sk_neg",FALSE,"","Right LGN","visual_early_percept"
"784","vision","visual","cue","Thal_Lateral_Geniculate_Nucleus_R",0.014,0.044,2963.11,0.32,0.75,"cue_sk_neg",FALSE,"","Right LGN","visual_early_percept"
"785","pain","neuromarker","stim","nps",0.017,0.038,2895.6,0.45,0.653,"cue_sk_pos",FALSE,"","NPS","pain_neuromarker"
"786","vision","neuromarker","stim","nps",0.038,0.042,2947.25,0.9,0.368,"cue_sk_pos",FALSE,"","NPS","pain_neuromarker"
"787","pain","neuromarker","stim","siips",-0.012,0.04,2937.06,-0.31,0.757,"cue_sk_pos",FALSE,"","SIIPS","pain_neuromarker"
"788","vision","neuromarker","stim","siips",0.035,0.043,2935.89,0.81,0.417,"cue_sk_pos",FALSE,"","SIIPS","pain_neuromarker"
"789","pain","pain","stim","Thal_VPLM_R",-0.045,0.041,2947.29,-1.1,0.273,"cue_sk_pos",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"790","vision","pain","stim","Thal_VPLM_R",-0.004,0.044,2964.26,-0.1,0.923,"cue_sk_pos",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"791","pain","pain","stim","Thal_VPLM_L",-0.005,0.04,2907.15,-0.13,0.898,"cue_sk_pos",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"792","vision","pain","stim","Thal_VPLM_L",-0.01,0.043,2965.24,-0.22,0.823,"cue_sk_pos",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"793","pain","pain","stim","Thal_MD",-0.017,0.041,2949.36,-0.41,0.68,"cue_sk_pos",FALSE,"","Med Thal","pain_percept"
"794","vision","pain","stim","Thal_MD",0.007,0.044,2910.53,0.15,0.879,"cue_sk_pos",FALSE,"","Med Thal","pain_percept"
"795","pain","pain","stim","Bstem_PAG",-0.001,0.042,2907.9,-0.04,0.972,"cue_sk_pos",FALSE,"","PAG","pain_percept"
"796","vision","pain","stim","Bstem_PAG",-0.015,0.044,2916.53,-0.35,0.729,"cue_sk_pos",FALSE,"","PAG","pain_percept"
"797","pain","pain","stim","dpIns_L",0.005,0.04,2906.31,0.14,0.892,"cue_sk_pos",FALSE,"","Left dpIns","pain_early_percept"
"798","vision","pain","stim","dpIns_L",0.003,0.043,2950.01,0.06,0.949,"cue_sk_pos",FALSE,"","Left dpIns","pain_early_percept"
"799","pain","pain","stim","dpIns_R",0.03,0.039,2948.83,0.78,0.435,"cue_sk_pos",FALSE,"","Right dpIns","pain_early_percept"
"800","vision","pain","stim","dpIns_R",-0.034,0.043,2947.98,-0.77,0.441,"cue_sk_pos",FALSE,"","Right dpIns","pain_early_percept"
"801","pain","pain","stim","aIns_L",0.045,0.041,2949.14,1.08,0.278,"cue_sk_pos",FALSE,"","Left aIns","pain_other"
"802","vision","pain","stim","aIns_L",0.017,0.044,2916.13,0.38,0.702,"cue_sk_pos",FALSE,"","Left aIns","pain_other"
"803","pain","pain","stim","aIns_R",0.071,0.04,2904.81,1.78,0.075,"cue_sk_pos",FALSE,"","Right aIns","pain_other"
"804","vision","pain","stim","aIns_R",0.037,0.044,2958.43,0.85,0.397,"cue_sk_pos",FALSE,"","Right aIns","pain_other"
"805","pain","pain","stim","aMCC_MPFC",0.04,0.039,2905.54,1.03,0.303,"cue_sk_pos",FALSE,"","aMCC","pain_percept"
"806","vision","pain","stim","aMCC_MPFC",0.003,0.044,2950.48,0.08,0.937,"cue_sk_pos",FALSE,"","aMCC","pain_percept"
"807","pain","pain","stim","s1_handplus_L",0.024,0.038,2908.48,0.63,0.527,"cue_sk_pos",FALSE,"","Left S1 hand","pain_other"
"808","vision","pain","stim","s1_handplus_L",-0.023,0.043,2956.27,-0.55,0.583,"cue_sk_pos",FALSE,"","Left S1 hand","pain_other"
"809","pain","pain","stim","s1_handplus_R",0.036,0.037,2948.59,0.99,0.324,"cue_sk_pos",FALSE,"","Right S1 hand","pain_other"
"810","vision","pain","stim","s1_handplus_R",-0.033,0.044,2946.38,-0.77,0.444,"cue_sk_pos",FALSE,"","Right S1 hand","pain_other"
"811","pain","higher_level","stim","Ctx_IPS1_L",0.036,0.041,2949.46,0.88,0.381,"cue_sk_pos",FALSE,"","Left IPS","visual_higher_level"
"812","vision","higher_level","stim","Ctx_IPS1_L",-0.004,0.041,2958.52,-0.11,0.915,"cue_sk_pos",FALSE,"","Left IPS","visual_higher_level"
"813","pain","higher_level","stim","Ctx_11l_L",0.002,0.042,2904.88,0.04,0.97,"cue_sk_pos",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"814","vision","higher_level","stim","Ctx_11l_L",-0.028,0.044,2958,-0.64,0.522,"cue_sk_pos",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"815","pain","higher_level","stim","Ctx_IPS1_R",0.031,0.042,2907.39,0.74,0.459,"cue_sk_pos",FALSE,"","Right IPS","visual_higher_level"
"816","vision","higher_level","stim","Ctx_IPS1_R",0,0.041,2956.48,-0.01,0.991,"cue_sk_pos",FALSE,"","Right IPS","visual_higher_level"
"817","pain","higher_level","stim","Ctx_p9_46v_R",-0.007,0.042,2949.38,-0.17,0.868,"cue_sk_pos",FALSE,"","Right dlPFC","pain_higher_level"
"818","vision","higher_level","stim","Ctx_p9_46v_R",-0.063,0.043,2954.47,-1.45,0.147,"cue_sk_pos",FALSE,"","Right dlPFC","pain_higher_level"
"819","pain","higher_level","stim","Ctx_11l_R",-0.011,0.042,2949.45,-0.26,0.793,"cue_sk_pos",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"820","vision","higher_level","stim","Ctx_11l_R",-0.082,0.044,2949.51,-1.87,0.061,"cue_sk_pos",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"821","pain","higher_level","stim","NAc_shell_like_R",-0.005,0.043,2908.86,-0.11,0.909,"cue_sk_pos",FALSE,"","Right NAc shell","pain_higher_level"
"822","vision","higher_level","stim","NAc_shell_like_R",-0.054,0.044,2959.6,-1.22,0.223,"cue_sk_pos",FALSE,"","Right NAc shell","pain_higher_level"
"823","pain","higher_level","stim","NAc_core_like_R",-0.046,0.042,2905.34,-1.11,0.269,"cue_sk_pos",FALSE,"","Right NAc core","pain_higher_level"
"824","vision","higher_level","stim","NAc_core_like_R",-0.027,0.044,2961.17,-0.62,0.533,"cue_sk_pos",FALSE,"","Right NAc core","pain_higher_level"
"825","pain","higher_level","stim","NAc_shell_like_L",0.004,0.042,2949.45,0.09,0.929,"cue_sk_pos",FALSE,"","Left NAc shell","pain_higher_level"
"826","vision","higher_level","stim","NAc_shell_like_L",-0.014,0.044,2965.6,-0.33,0.744,"cue_sk_pos",FALSE,"","Left NAc shell","pain_higher_level"
"827","pain","higher_level","stim","NAc_core_like_L",-0.031,0.042,2949.08,-0.73,0.465,"cue_sk_pos",FALSE,"","Left NAc core","pain_higher_level"
"828","vision","higher_level","stim","NAc_core_like_L",-0.057,0.043,2968.5,-1.31,0.189,"cue_sk_pos",FALSE,"","Left NAc core","pain_higher_level"
"829","pain","higher_level","stim","Ctx_8C_L_and_Ctx_46_L",0.01,0.042,2949.47,0.25,0.801,"cue_sk_pos",FALSE,"","Left dlPFC","pain_higher_level"
"830","vision","higher_level","stim","Ctx_8C_L_and_Ctx_46_L",-0.052,0.043,2952.37,-1.2,0.229,"cue_sk_pos",FALSE,"","Left dlPFC","pain_higher_level"
"831","pain","visual","stim","Ctx_V1_L",0.005,0.04,2908.67,0.11,0.908,"cue_sk_pos",FALSE,"","Left V1","visual_early_percept"
"832","vision","visual","stim","Ctx_V1_L",-0.008,0.041,2950.6,-0.21,0.838,"cue_sk_pos",FALSE,"","Left V1","visual_early_percept"
"833","pain","visual","stim","Ctx_V2_L",-0.015,0.04,2949.11,-0.37,0.71,"cue_sk_pos",FALSE,"","Left V2","visual_early_percept"
"834","vision","visual","stim","Ctx_V2_L",-0.044,0.041,2952.63,-1.08,0.282,"cue_sk_pos",FALSE,"","Left V2","visual_early_percept"
"835","pain","visual","stim","Ctx_V3_L",-0.017,0.04,2908.74,-0.42,0.672,"cue_sk_pos",FALSE,"","Left V3","pain_early_percept"
"836","vision","visual","stim","Ctx_V3_L",-0.062,0.04,2955.63,-1.54,0.123,"cue_sk_pos",FALSE,"","Left V3","pain_early_percept"
"837","pain","visual","stim","Ctx_V4_L",0.013,0.041,2909.22,0.32,0.745,"cue_sk_pos",FALSE,"","Left V4","pain_early_percept"
"838","vision","visual","stim","Ctx_V4_L",-0.054,0.036,2959.32,-1.52,0.13,"cue_sk_pos",FALSE,"","Left V4","pain_early_percept"
"839","pain","visual","stim","Ctx_V3A_L",0.012,0.041,2903.32,0.3,0.768,"cue_sk_pos",FALSE,"","Left V3A","visual_other"
"840","vision","visual","stim","Ctx_V3A_L",-0.052,0.039,2955.33,-1.33,0.184,"cue_sk_pos",FALSE,"","Left V3A","visual_other"
"841","pain","visual","stim","Ctx_V3B_L",0.024,0.041,2949.18,0.59,0.552,"cue_sk_pos",FALSE,"","Left V3B","visual_other"
"842","vision","visual","stim","Ctx_V3B_L",-0.023,0.039,2960.6,-0.58,0.562,"cue_sk_pos",FALSE,"","Left V3B","visual_other"
"843","pain","visual","stim","Ctx_MT_L",0.059,0.04,2948.36,1.46,0.144,"cue_sk_pos",FALSE,"","Left V5 (MT)","pain_early_percept"
"844","vision","visual","stim","Ctx_MT_L",-0.039,0.041,2960.89,-0.95,0.344,"cue_sk_pos",FALSE,"","Left V5 (MT)","pain_early_percept"
"845","pain","visual","stim","Ctx_VMV1_L",0.016,0.041,2949.15,0.38,0.703,"cue_sk_pos",FALSE,"","Left ventro-medial V1","visual_other"
"846","vision","visual","stim","Ctx_VMV1_L",0.005,0.043,2914.59,0.12,0.903,"cue_sk_pos",FALSE,"","Left ventro-medial V1","visual_other"
"847","pain","visual","stim","Ctx_VMV3_L",0.013,0.04,2948.94,0.31,0.754,"cue_sk_pos",FALSE,"","Left ventro-medial V3","visual_other"
"848","vision","visual","stim","Ctx_VMV3_L",-0.033,0.039,2962.61,-0.84,0.403,"cue_sk_pos",FALSE,"","Left ventro-medial V3","visual_other"
"849","pain","visual","stim","Ctx_V4t_L",0.02,0.041,2948.07,0.49,0.622,"cue_sk_pos",FALSE,"","Left V4t","visual_other"
"850","vision","visual","stim","Ctx_V4t_L",-0.056,0.038,2961.21,-1.48,0.138,"cue_sk_pos",FALSE,"","Left V4t","visual_other"
"851","pain","visual","stim","Ctx_V3CD_L",0.027,0.041,2907.19,0.65,0.516,"cue_sk_pos",FALSE,"","Left V3CD","visual_other"
"852","vision","visual","stim","Ctx_V3CD_L",-0.035,0.037,2960.38,-0.94,0.346,"cue_sk_pos",FALSE,"","Left V3CD","visual_other"
"853","pain","visual","stim","Ctx_VMV2_L",0.009,0.041,2949.16,0.22,0.823,"cue_sk_pos",FALSE,"","Left ventro-medial V2","visual_other"
"854","vision","visual","stim","Ctx_VMV2_L",-0.024,0.041,2958.88,-0.58,0.564,"cue_sk_pos",FALSE,"","Left ventro-medial V2","visual_other"
"855","pain","visual","stim","Ctx_V1_R",0.016,0.041,2909.11,0.39,0.694,"cue_sk_pos",FALSE,"","Right V1","visual_early_percept"
"856","vision","visual","stim","Ctx_V1_R",-0.009,0.041,2946.64,-0.23,0.821,"cue_sk_pos",FALSE,"","Right V1","visual_early_percept"
"857","pain","visual","stim","Ctx_V2_R",0.01,0.041,2909.2,0.26,0.796,"cue_sk_pos",FALSE,"","Right V2","visual_early_percept"
"858","vision","visual","stim","Ctx_V2_R",-0.034,0.04,2956.28,-0.84,0.401,"cue_sk_pos",FALSE,"","Right V2","visual_early_percept"
"859","pain","visual","stim","Ctx_V3_R",0.005,0.04,2908.79,0.13,0.897,"cue_sk_pos",FALSE,"","Right V3","pain_early_percept"
"860","vision","visual","stim","Ctx_V3_R",-0.049,0.039,2961.05,-1.26,0.207,"cue_sk_pos",FALSE,"","Right V3","pain_early_percept"
"861","pain","visual","stim","Ctx_V4_R",0.01,0.041,2909.06,0.24,0.809,"cue_sk_pos",FALSE,"","Right V4","pain_early_percept"
"862","vision","visual","stim","Ctx_V4_R",-0.061,0.038,2953.36,-1.59,0.111,"cue_sk_pos",FALSE,"","Right V4","pain_early_percept"
"863","pain","visual","stim","Ctx_V3A_R",0.005,0.04,2907.45,0.13,0.9,"cue_sk_pos",FALSE,"","Right V3A","visual_other"
"864","vision","visual","stim","Ctx_V3A_R",-0.04,0.038,2957.85,-1.05,0.292,"cue_sk_pos",FALSE,"","Right V3A","visual_other"
"865","pain","visual","stim","Ctx_V3B_R",0.027,0.04,2948.88,0.66,0.509,"cue_sk_pos",FALSE,"","Right V3B","visual_other"
"866","vision","visual","stim","Ctx_V3B_R",-0.029,0.041,2961.67,-0.71,0.476,"cue_sk_pos",FALSE,"","Right V3B","visual_other"
"867","pain","visual","stim","Ctx_MT_R",-0.007,0.041,2938.95,-0.16,0.87,"cue_sk_pos",FALSE,"","Right V5 (MT)","pain_early_percept"
"868","vision","visual","stim","Ctx_MT_R",-0.021,0.041,2956.79,-0.51,0.608,"cue_sk_pos",FALSE,"","Right V5 (MT)","pain_early_percept"
"869","pain","visual","stim","Ctx_VMV1_R",0.012,0.041,2907.67,0.3,0.764,"cue_sk_pos",FALSE,"","Right ventro-medial V1","visual_other"
"870","vision","visual","stim","Ctx_VMV1_R",-0.012,0.042,2955.22,-0.28,0.78,"cue_sk_pos",FALSE,"","Right ventro-medial V1","visual_other"
"871","pain","visual","stim","Ctx_VMV3_R",0.042,0.04,2907.77,1.05,0.295,"cue_sk_pos",FALSE,"","Right ventro-medial V3","visual_other"
"872","vision","visual","stim","Ctx_VMV3_R",-0.046,0.04,2910.47,-1.15,0.249,"cue_sk_pos",FALSE,"","Right ventro-medial V3","visual_other"
"873","pain","visual","stim","Ctx_V4t_R",0.056,0.042,2856.39,1.36,0.175,"cue_sk_pos",FALSE,"","Right V4t","visual_other"
"874","vision","visual","stim","Ctx_V4t_R",-0.042,0.04,2952.62,-1.05,0.293,"cue_sk_pos",FALSE,"","Right V4t","visual_other"
"875","pain","visual","stim","Ctx_V3CD_R",0.014,0.041,2907.98,0.33,0.74,"cue_sk_pos",FALSE,"","Right V3CD","visual_other"
"876","vision","visual","stim","Ctx_V3CD_R",-0.052,0.037,2946.07,-1.41,0.16,"cue_sk_pos",FALSE,"","Right V3CD","visual_other"
"877","pain","visual","stim","Ctx_VMV2_R",0.032,0.041,2909.36,0.79,0.428,"cue_sk_pos",FALSE,"","Right ventro-medial V2","visual_other"
"878","vision","visual","stim","Ctx_VMV2_R",-0.039,0.04,2880.48,-0.96,0.339,"cue_sk_pos",FALSE,"","Right ventro-medial V2","visual_other"
"879","pain","visual","stim","Thal_Lateral_Geniculate_Nucleus_L",-0.012,0.042,2908.71,-0.28,0.779,"cue_sk_pos",FALSE,"","Left LGN","visual_early_percept"
"880","vision","visual","stim","Thal_Lateral_Geniculate_Nucleus_L",-0.005,0.043,2963.66,-0.12,0.902,"cue_sk_pos",FALSE,"","Left LGN","visual_early_percept"
"881","pain","visual","stim","Thal_Lateral_Geniculate_Nucleus_R",-0.016,0.042,2949.84,-0.37,0.713,"cue_sk_pos",FALSE,"","Right LGN","visual_early_percept"
"882","vision","visual","stim","Thal_Lateral_Geniculate_Nucleus_R",0.01,0.043,2925.75,0.23,0.819,"cue_sk_pos",FALSE,"","Right LGN","visual_early_percept"
"883","pain","neuromarker","cue","nps",-0.031,0.041,2880.77,-0.75,0.453,"cue_sk_pos",FALSE,"","NPS","pain_neuromarker"
"884","vision","neuromarker","cue","nps",0.008,0.042,2954.45,0.2,0.844,"cue_sk_pos",FALSE,"","NPS","pain_neuromarker"
"885","pain","neuromarker","cue","siips",-0.003,0.041,2918.32,-0.08,0.934,"cue_sk_pos",FALSE,"","SIIPS","pain_neuromarker"
"886","vision","neuromarker","cue","siips",0.062,0.043,2939.99,1.43,0.154,"cue_sk_pos",FALSE,"","SIIPS","pain_neuromarker"
"887","pain","pain","cue","Thal_VPLM_R",-0.066,0.042,2940.27,-1.56,0.119,"cue_sk_pos",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"888","vision","pain","cue","Thal_VPLM_R",-0.012,0.043,2957.67,-0.27,0.788,"cue_sk_pos",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"889","pain","pain","cue","Thal_VPLM_L",0.011,0.042,2898.65,0.27,0.786,"cue_sk_pos",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"890","vision","pain","cue","Thal_VPLM_L",0.018,0.043,2964.03,0.42,0.678,"cue_sk_pos",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"891","pain","pain","cue","Thal_MD",-0.067,0.041,2886.49,-1.63,0.104,"cue_sk_pos",FALSE,"","Med Thal","pain_percept"
"892","vision","pain","cue","Thal_MD",-0.03,0.043,2958.07,-0.71,0.479,"cue_sk_pos",FALSE,"","Med Thal","pain_percept"
"893","pain","pain","cue","Bstem_PAG",-0.087,0.043,2934.52,-2.03,0.043,"cue_sk_pos",TRUE,"*","PAG","pain_percept"
"894","vision","pain","cue","Bstem_PAG",0.011,0.044,2962.35,0.24,0.811,"cue_sk_pos",FALSE,"","PAG","pain_percept"
"895","pain","pain","cue","dpIns_L",0.015,0.041,2881.64,0.36,0.719,"cue_sk_pos",FALSE,"","Left dpIns","pain_early_percept"
"896","vision","pain","cue","dpIns_L",0.03,0.043,2954.13,0.71,0.478,"cue_sk_pos",FALSE,"","Left dpIns","pain_early_percept"
"897","pain","pain","cue","dpIns_R",0.011,0.041,2879.96,0.28,0.781,"cue_sk_pos",FALSE,"","Right dpIns","pain_early_percept"
"898","vision","pain","cue","dpIns_R",0.04,0.043,2955.19,0.93,0.354,"cue_sk_pos",FALSE,"","Right dpIns","pain_early_percept"
"899","pain","pain","cue","aIns_L",-0.032,0.041,2885.12,-0.79,0.429,"cue_sk_pos",FALSE,"","Left aIns","pain_other"
"900","vision","pain","cue","aIns_L",-0.01,0.043,2905.73,-0.22,0.823,"cue_sk_pos",FALSE,"","Left aIns","pain_other"
"901","pain","pain","cue","aIns_R",-0.067,0.041,2886.3,-1.65,0.098,"cue_sk_pos",FALSE,"","Right aIns","pain_other"
"902","vision","pain","cue","aIns_R",0.004,0.043,2917.35,0.08,0.935,"cue_sk_pos",FALSE,"","Right aIns","pain_other"
"903","pain","pain","cue","aMCC_MPFC",-0.066,0.04,2886.25,-1.65,0.099,"cue_sk_pos",FALSE,"","aMCC","pain_percept"
"904","vision","pain","cue","aMCC_MPFC",0.026,0.043,2951.06,0.62,0.538,"cue_sk_pos",FALSE,"","aMCC","pain_percept"
"905","pain","pain","cue","s1_handplus_L",-0.003,0.041,2932.49,-0.06,0.949,"cue_sk_pos",FALSE,"","Left S1 hand","pain_other"
"906","vision","pain","cue","s1_handplus_L",-0.004,0.043,2959.6,-0.09,0.931,"cue_sk_pos",FALSE,"","Left S1 hand","pain_other"
"907","pain","pain","cue","s1_handplus_R",0.015,0.041,2933.5,0.36,0.716,"cue_sk_pos",FALSE,"","Right S1 hand","pain_other"
"908","vision","pain","cue","s1_handplus_R",-0.031,0.043,2955.61,-0.72,0.472,"cue_sk_pos",FALSE,"","Right S1 hand","pain_other"
"909","pain","higher_level","cue","Ctx_IPS1_L",-0.025,0.04,2851.39,-0.61,0.544,"cue_sk_pos",FALSE,"","Left IPS","visual_higher_level"
"910","vision","higher_level","cue","Ctx_IPS1_L",0.008,0.042,2962.44,0.19,0.851,"cue_sk_pos",FALSE,"","Left IPS","visual_higher_level"
"911","pain","higher_level","cue","Ctx_11l_L",-0.007,0.043,2848.23,-0.15,0.877,"cue_sk_pos",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"912","vision","higher_level","cue","Ctx_11l_L",-0.058,0.043,2944.05,-1.34,0.18,"cue_sk_pos",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"913","pain","higher_level","cue","Ctx_IPS1_R",-0.007,0.04,2857.52,-0.17,0.864,"cue_sk_pos",FALSE,"","Right IPS","visual_higher_level"
"914","vision","higher_level","cue","Ctx_IPS1_R",0.01,0.042,2960.29,0.25,0.805,"cue_sk_pos",FALSE,"","Right IPS","visual_higher_level"
"915","pain","higher_level","cue","Ctx_p9_46v_R",-0.057,0.041,2852.81,-1.37,0.17,"cue_sk_pos",FALSE,"","Right dlPFC","pain_higher_level"
"916","vision","higher_level","cue","Ctx_p9_46v_R",-0.002,0.043,2961.55,-0.04,0.969,"cue_sk_pos",FALSE,"","Right dlPFC","pain_higher_level"
"917","pain","higher_level","cue","Ctx_11l_R",-0.059,0.042,2845.12,-1.38,0.167,"cue_sk_pos",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"918","vision","higher_level","cue","Ctx_11l_R",-0.038,0.043,2945.78,-0.89,0.374,"cue_sk_pos",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"919","pain","higher_level","cue","NAc_shell_like_R",-0.005,0.044,2936.11,-0.11,0.909,"cue_sk_pos",FALSE,"","Right NAc shell","pain_higher_level"
"920","vision","higher_level","cue","NAc_shell_like_R",-0.104,0.044,2875.26,-2.37,0.018,"cue_sk_pos",TRUE,"*","Right NAc shell","pain_higher_level"
"921","pain","higher_level","cue","NAc_core_like_R",-0.099,0.042,2940.93,-2.33,0.02,"cue_sk_pos",TRUE,"*","Right NAc core","pain_higher_level"
"922","vision","higher_level","cue","NAc_core_like_R",-0.125,0.044,2923.27,-2.86,0.004,"cue_sk_pos",TRUE,"**","Right NAc core","pain_higher_level"
"923","pain","higher_level","cue","NAc_shell_like_L",-0.055,0.044,2932.37,-1.25,0.21,"cue_sk_pos",FALSE,"","Left NAc shell","pain_higher_level"
"924","vision","higher_level","cue","NAc_shell_like_L",-0.058,0.044,2916.4,-1.32,0.188,"cue_sk_pos",FALSE,"","Left NAc shell","pain_higher_level"
"925","pain","higher_level","cue","NAc_core_like_L",-0.085,0.043,2933.97,-1.97,0.049,"cue_sk_pos",TRUE,"*","Left NAc core","pain_higher_level"
